"id","name","type","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"4157","Guild Wars: Eye of the North","multiplayer focused","2007-08-28","day","2007.0","8.0","28.0","","","","","","","","","","","2.0","52.5","1.0","80.0"
"4158","Guild Wars: Prophecies","multiplayer focused","2005-04-28","day","2005.0","4.0","28.0","19.0","82.1","16.0","133.0","3.0","901.25","38.0","168.2","19.0","82.1","3.0","233.0","1.0","40.0"
"4216","Guns of Icarus Online","multiplayer focused","2010-10-29","day","2010.0","10.0","29.0","","","","","","","","","","","1.0","8.0","10.0","24.5"
"4220","GunZ: The Duel","multiplayer focused","2006-11","month","2006.0","11.0","","","","","","","","","","","","1.0","10.0","2.0","35.0"
"4249","Half-Life 2: Deathmatch","multiplayer focused","2004-11-30","day","2004.0","11.0","30.0","","","","","","","","","","","3.0","22.5","24.0","91.0"
"4253","Half-Life Deathmatch: Source","multiplayer focused","2005-07-02","day","2005.0","7.0","2.0","","","","","","","","","","","","","","0.95"
"4438","Heroes of Newerth","multiplayer focused","2010-05-12","day","2010.0","5.0","12.0","","","","","","","","","","","","","","976.0"
"4705","Insurgency(2014)","multiplayer focused","2014-01-22","day","2014.0","1.0","22.0","","","","","","","","","","","7.0","84.5","23.0","42.5"
"5201","Lead and Gold: Gangs of the Wild West","multiplayer focused","2010-04-08","day","2010.0","4.0","8.0","","","","","","","","","","","","","","144.0"
"5203","League of Legends","multiplayer focused","2009-10-27","day","2009.0","10.0","27.0","47.0","1182.48","22.0","1932.17","35.0","3746.9","104.0","2204.1","47.0","1182.48","17.0","1797.0","104.0","1751.0"
"5307","Lineage II","multiplayer focused","2004-04-27","day","2004.0","4.0","27.0","3.0","1617.47","3.0","2706.0","","","6.0","2161.73","3.0","1617.47","2.0","1071.0","3.0","1145.0"
"5346","Loadout","multiplayer focused","2014-01-31","day","2014.0","1.0","31.0","","","","","","","","","","","","","","90.0"
"5607","MapleStory","multiplayer focused","2005-05-11","day","2005.0","5.0","11.0","","","","","","","","","","","","854.0","",""
"6419","Natural Selection 2","multiplayer focused","2012-10-31","day","2012.0","10.0","31.0","","","","","","","","","","","","","","120.0"
"6542","Nexuiz(2012)","multiplayer focused","2012-05-03","day","2012.0","5.0","3.0","","","","","","","","","","","","","","1.5"
"7104","PlanetSide 2","multiplayer focused","2012-11-20","day","2012.0","11.0","20.0","","","","","","","","","","","5.0","725.0","24.0","221.0"
"7280","Primal Carnage","multiplayer focused","2012-10-29","day","2012.0","10.0","29.0","","","","","","","","","","","","","","8.0"
"7651","Realm of the Mad God","multiplayer focused","2012-02-20","day","2012.0","2.0","20.0","","","","","","","","","","","","830.0","",""
"7692","Red Orchestra: Ostfront 41-45","multiplayer focused","2006-03-14","day","2006.0","3.0","14.0","","","","","","","","","","","","","","11.5"
"7815","Rift(2011)","multiplayer focused","2011-03-01","day","2011.0","3.0","1.0","","","","","","","","","","","2.0","112.0","1.0","45.0"
"8024","RuneScape(2020)","multiplayer focused","2020-10-14","day","2020.0","10.0","14.0","24.0","1544.77","19.0","2759.85","18.0","4798.27","61.0","2883.28","24.0","1544.77","5.0","3710.0","2.0","313.0"
"8363","Shadowrun(2007)","multiplayer focused","2007-05-29","day","2007.0","5.0","29.0","","","","","","","","","","","","","","37.5"
"8960","Spiral Knights","multiplayer focused","2009-11-12","day","2009.0","11.0","12.0","","","","","","","","","","","4.0","199.0","1.0","30.0"
"9055","Star Trek Online","multiplayer focused","2010-02-02","day","2010.0","2.0","2.0","8.0","282.65","9.0","428.7","3.0","2971.33","20.0","751.67","8.0","282.65","","","",""
"9084","Star Wars Galaxies: An Empire Divided","multiplayer focused","2003-06-26","day","2003.0","6.0","26.0","","","","","","","","","","","1.0","1000.0","1.0","20.0"
"9097","Star Wars: Battlefront(2004)","multiplayer focused","2004-09-20","day","2004.0","9.0","20.0","129.0","6.97","39.0","15.13","25.0","16.23","193.0","9.82","129.0","6.97","5.0","18.5","7.0","28.5"
"9137","Star Wars: The Old Republic","multiplayer focused","2011-12-20","day","2011.0","12.0","20.0","31.0","79.67","44.0","219.85","4.0","1928.75","79.0","251.37","31.0","79.67","7.0","177.0","4.0","30.5"
